"employeeID","months_worked2021","function_group","vacation_proportion2021_percentage"
3983,10,"01RT01",16.67
5054,1,"01RH01",25
5538,7,"01RT01",17.6
5555,1,"01RH01",33.33
5829,5,"01RT01",19.42
13202,1,"01VV00",100
13873,12,"01RT01",16.67
13956,7,"01T100",16.06
14083,12,"01ITI0",19.84
14569,12,"01ITI0",18.65
15043,8,"01RH01",17.12
15203,2,"01T100",35
15221,12,"01T100",16.67
15232,1,"01T100",62.5
15825,12,"01T100",16.67
16093,12,"01ITC0",17.86
16370,12,"01RH01",22.22
16616,11,"01ITE0",17.03
16899,10,"01TI80",17.14
16961,2,"01TI80",37.5
